City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,la seyne-sur-mer,43.1,5.88,81.0,80,0,4.0,FR,1595266763
337,arraial do cabo,-22.97,-42.03,80.6,61,0,17.22,BR,1595266763
338,khovu-aksy,51.13,93.6,59.5,71,25,2.89,RU,1595266764
339,shingu,33.73,135.98,75.69,82,99,3.27,JP,1595266764
340,kenai,60.55,-151.26,60.01,93,1,5.82,US,1595266764
341,pisco,-13.7,-76.22,62.01,87,90,5.82,PE,1595266904
342,koshekhabl,44.9,40.51,78.73,54,0,10.38,RU,1595266764
343,kingman,35.19,-114.05,99.0,22,1,5.82,US,1595266764
344,ovalle,-30.6,-71.2,65.12,44,34,3.36,CL,1595266764
345,statesboro,32.45,-81.78,93.2,46,75,3.6,US,1595266666
346,amapa,1.0,-52.0,83.64,72,20,3.87,BR,1595266765
347,kwinana,-32.25,115.77,52.0,93,60,5.82,AU,1595266765
348,russell,32.35,-85.2,95.0,47,40,4.7,US,1595266765
349,norman wells,65.28,-126.83,57.2,87,75,2.24,CA,1595266641
350,san buenaventura,27.08,-101.53,87.01,56,92,2.01,MX,1595266766
351,roura,4.73,-52.33,84.2,70,64,6.93,GF,1595266766
352,suntar,62.14,117.63,61.05,97,100,4.54,RU,1595266766
353,nome,64.5,-165.41,48.99,100,90,8.05,US,1595266567
354,vao,-22.67,167.48,68.88,64,2,13.11,NC,1595266668
355,marsa matruh,31.35,27.25,78.8,74,20,9.17,EG,1595266766
356,linjiang,41.81,126.91,61.75,87,16,1.5,CN,1595266766
357,alofi,-19.06,-169.92,75.2,100,75,6.93,NU,1595266905
358,muncar,-8.43,114.33,76.03,89,82,4.83,ID,1595266767
359,ixtapa,20.7,-105.2,90.0,66,20,4.7,MX,1595266905
360,acapulco,16.86,-99.89,87.8,70,75,6.93,MX,1595266611
361,okha,53.57,142.95,52.07,93,100,14.03,RU,1595266767
362,linqiong,30.42,103.46,75.2,69,40,4.47,CN,1595266767
363,soyo,-6.13,12.37,72.3,86,25,8.79,AO,1595266767
364,neiafu,-18.65,-173.98,77.0,88,75,9.17,TO,1595266906
365,cap-aux-meules,47.38,-61.86,73.4,78,75,14.99,CA,1595266768
366,sosnogorsk,63.6,53.88,59.59,65,0,4.99,RU,1595266768
367,walvis bay,-22.96,14.51,80.6,15,0,5.82,NA,1595266768
368,san jeronimo,-11.95,-75.28,63.79,26,18,2.24,PE,1595266768
369,binzhou,37.37,118.02,80.01,65,26,7.85,CN,1595266768
370,ilo,-17.64,-71.34,64.4,77,75,8.05,PE,1595266768
371,la libertad,-2.23,-80.9,73.4,78,90,10.29,EC,1595266769
372,champerico,14.3,-91.92,87.8,70,75,9.17,GT,1595266769
373,kazachinskoye,57.7,93.28,55.69,96,100,4.65,RU,1595266769
374,bathsheba,13.22,-59.52,86.0,74,40,16.11,BB,1595266769
375,homer,59.64,-151.55,60.8,87,1,4.7,US,1595266769
376,college,64.86,-147.8,64.4,63,40,5.82,US,1595266907
377,solotcha,54.79,39.84,66.99,52,50,1.01,RU,1595266770
378,san ramon,37.78,-121.98,69.01,63,1,9.17,US,1595266765
379,margate,51.38,1.39,68.0,47,47,3.0,GB,1595266748
380,cristalina,-16.77,-47.61,73.54,43,1,11.41,BR,1595266770
